,price,propertyType,size_stand,exterior,rooms,bathrooms,distance_stand,status,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_False,exterior_True,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3
0,750.0,699.2690909090627,0.0114430089966669,698.5409252668918,686.5634946466964,696.2628205128204,-0.7140880325609481,698.5391849529777,697.8611002785186,703.5664722555067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1,750.0,699.2690909090627,0.432211985644941,698.5409252668918,702.1030205355191,696.2628205128204,-0.0409321609082869,698.5391849529777,678.7293846351879,692.4620288280131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2,590.0,699.2690909090627,0.432211985644941,698.5409252668918,705.865660696275,692.1544016815556,2.948728375347949,698.5391849529777,674.4057218564246,692.4620288280131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3,684.0,689.9858293313405,-0.6197104559757441,698.5409252668918,691.1211649178501,696.2628205128204,-0.4466142623028255,684.0522266367509,674.4057218564246,676.4782674330042,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,600.0,699.2690909090627,0.5584426786394233,698.5409252668918,702.1030205355191,696.2628205128204,1.5050056264609175,698.5391849529777,697.8611002785186,692.4620288280131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,600.0,693.5688858409724,0.4742888833097685,698.5409252668918,686.5634946466964,696.2628205128204,2.027093140443614,698.5391849529777,705.3356790415805,692.4620288280131,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,550.0,699.2690909090627,-0.2830952746571248,698.5409252668918,686.5634946466964,696.2628205128204,-0.9379559657225544,698.5391849529777,705.3356790415805,692.4620288280131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7,700.0,689.9858293313405,-1.33501771627781,698.5409252668918,691.1211649178501,696.2628205128204,-0.822585267912958,698.5391849529777,705.3356790415805,692.4620288280131,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,700.0,693.5688858409724,1.1054423482821796,698.5409252668918,702.1030205355191,696.2628205128204,1.0682820817095369,698.5391849529777,697.8611002785186,703.5664722555067,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
9,700.0,699.2690909090627,-0.6197104559757441,685.0244668457999,686.5634946466964,696.2628205128204,-1.082963851118088,698.5391849529777,700.5459478522897,692.4620288280131,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
10,550.0,699.2690909090627,-0.2410183769922974,698.5409252668918,702.1030205355191,696.2628205128204,0.7046537452436724,698.5391849529777,692.6055519261394,692.4620288280131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
11,695.0,699.2690909090627,0.1797505996559766,698.5409252668918,702.1030205355191,696.2628205128204,-0.0703476238988182,698.5391849529777,705.3356790415805,692.4620288280131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
12,650.0,699.2690909090627,0.3480581903152862,698.5409252668918,702.1030205355191,696.2628205128204,1.9002666718713728,698.5391849529777,678.7293846351879,692.4620288280131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
13,700.0,699.2690909090627,-1.2508639209481551,685.0244668457999,686.5634946466964,696.2628205128204,-0.9942001047572137,698.5391849529777,705.3356790415805,703.5664722555067,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
14,700.0,699.2690909090627,-1.040479432624018,685.0244668457999,686.5634946466964,696.2628205128204,-1.0941978972853263,698.5391849529777,705.3356790415805,692.4620288280131,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
15,700.0,699.2690909090627,-0.7038642513053989,698.5409252668918,686.5634946466964,696.2628205128204,-0.905879807587151,698.5391849529777,705.4414809607034,703.5664722555067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
16,650.0,699.2690909090627,0.0114430089966669,698.5409252668918,702.1030205355191,696.2628205128204,-0.939655854287334,698.5391849529777,705.3356790415805,692.4620288280131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
17,700.0,699.2690909090627,1.9049034039139003,698.5409252668918,705.865660696275,692.1544016815556,2.018002432031967,698.5391849529777,678.7293846351879,692.4620288280131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
