,price,propertyType,size,exterior,rooms,bathrooms,distance,status,floor,hasLift
228,700.0,flat,57.0,False,2,1,8410,good,4,False
229,750.0,duplex,75.0,True,2,2,24176,good,1,False
230,610.0,studio,26.0,False,0,1,5343,good,3,True
231,740.0,flat,52.0,False,2,1,17525,good,4,False
232,715.0,flat,62.0,True,2,1,26558,good,bj,True
233,550.0,flat,57.0,False,2,1,43521,good,bj,False
234,710.0,flat,36.0,True,1,1,1315,good,bj,False
235,730.0,flat,51.0,True,2,1,8093,good,2,False
236,750.0,studio,23.0,True,0,1,1367,good,8,True
237,690.0,flat,33.0,False,1,1,5232,good,3,True
238,740.0,flat,73.0,True,3,1,21838,good,4,True
239,750.0,duplex,66.0,True,1,1,5627,good,bj,True
240,720.0,flat,44.0,False,3,1,8176,good,2,False
241,475.0,flat,79.0,True,2,2,45077,good,2,True
242,740.0,flat,41.0,True,2,1,4787,good,2,False
243,740.0,flat,57.0,True,1,1,3642,good,1,True
244,740.0,flat,62.0,True,2,1,26890,good,1,True
245,700.0,flat,74.0,False,2,1,9950,good,4,False
246,730.0,flat,35.0,False,1,1,760,good,2,True
247,700.0,studio,28.0,True,0,1,9700,good,3,True
248,600.0,chalet,180.0,False,3,2,35543,good,Desconocido,Desconocido
249,750.0,flat,109.0,True,2,2,24455,good,3,True
250,749.0,flat,38.0,True,1,1,6506,good,2,True
251,700.0,studio,30.0,False,0,1,2411,good,bj,True
252,667.0,flat,70.0,True,1,1,21185,good,8,True
253,725.0,flat,45.0,False,1,1,10398,good,1,True
254,550.0,penthouse,70.0,True,3,1,47595,good,3,False
255,695.0,flat,55.0,True,3,1,19765,good,4,False
256,750.0,flat,105.0,True,3,1,28810,good,1,False
257,699.0,flat,52.0,True,1,1,7092,good,3,True
258,750.0,studio,32.0,True,0,1,5006,good,14,True
259,730.0,flat,80.0,True,3,1,35774,good,4,False
260,710.0,flat,30.0,True,1,1,1156,good,bj,False
261,650.0,flat,58.0,True,1,1,5924,good,4,True
262,600.0,countryHouse,60.0,False,2,2,23776,renew,Desconocido,Desconocido
263,740.0,flat,41.0,True,2,1,8358,good,3,False
264,525.0,flat,40.0,True,1,1,43059,good,3,True
265,750.0,studio,35.0,True,0,1,1272,good,4,False
266,750.0,flat,74.0,True,3,1,29245,good,2,True
267,710.0,flat,69.0,True,3,1,28440,good,5,True
268,560.0,studio,46.0,True,0,1,3786,good,bj,False
269,600.0,flat,42.0,True,1,1,18905,good,bj,False
270,720.0,flat,44.0,True,1,1,3589,good,ss,False
